query_image,rank,candidate_image,num_matches,average_confidence,combined_score
A05_18_08_W_roh.jpeg,2,IMG-20250910-WA0062.jpg,80,0.4985862672328949,39.88690137863159
A05_18_08_W_roh.jpeg,3,IMG-20250626-WA0016.jpg,77,0.503021240234375,38.73263549804688
A05_18_08_W_roh.jpeg,4,IMG_20250717_104652.jpg,74,0.4783922135829925,35.40102380514145
A05_18_08_W_roh.jpeg,5,IMG-20250626-WA0009.jpg,74,0.474198579788208,35.09069490432739
A05_21_01_W_roh.jpeg,1,IMG_20250501_132115.jpg,81,0.4502987265586853,36.47419685125351
A05_21_01_W_roh.jpeg,2,A06_18_04_W_roh.jpeg,60,0.5267226696014404,31.603360176086422
A05_21_01_W_roh.jpeg,3,IMG-20250620-WA0039.jpg,51,0.5500718355178833,28.05366361141205
A05_21_01_W_roh.jpeg,4,IMG_20250501_133055.jpg,56,0.5006786584854126,28.038004875183105
A05_21_01_W_roh.jpeg,5,A08_18_23_W_roh.jpeg,55,0.504576563835144,27.75171101093292
A06_03_01_M_roh.jpeg,1,IMG_20250807_105820.jpg,180,0.8004533052444458,144.08159494400024
A06_03_01_M_roh.jpeg,2,IMG-20250919-WA0009.jpg,77,0.5089321732521057,39.18777734041214
A06_03_01_M_roh.jpeg,3,IMG_20250515_121011.jpg,84,0.4619121551513672,38.80062103271485
A06_03_01_M_roh.jpeg,4,IMG_20250501_132350.jpg,73,0.4943851828575134,36.09011834859848
A06_03_01_M_roh.jpeg,5,IMG-20250626-WA0016.jpg,67,0.5067350268363953,33.95124679803848
A06_03_02_W_roh.jpeg,1,IMG-20250620-WA0042.jpg,67,0.598624587059021,40.10784733295441
A06_03_02_W_roh.jpeg,2,IMG-20250626-WA0013.jpg,76,0.4676987528800964,35.54510521888733
A06_03_02_W_roh.jpeg,3,IMG_20250501_132115.jpg,67,0.4761112034320831,31.89945062994957
A06_03_02_W_roh.jpeg,4,IMG-20250626-WA0024.jpg,67,0.4538948535919189,30.41095519065857
A06_03_02_W_roh.jpeg,5,IMG_20250717_111215.jpg,66,0.4366034865379333,28.8158301115036
A06_08_04_W_roh.jpg,1,A08_18_18_W_roh.jpeg,77,0.4689820408821106,36.11161714792252
A06_08_04_W_roh.jpg,2,IMG-20250626-WA0016.jpg,63,0.5269520282745361,33.197977781295776
A06_08_04_W_roh.jpg,3,A08_17_17_W_roh.jpg,79,0.4097157418727875,32.36754360795021
A06_08_04_W_roh.jpg,4,A07_17_06_W_roh.jpg,68,0.4576452672481537,31.11987817287445
A06_08_04_W_roh.jpg,5,A06_15_03_W_roh.jpeg,62,0.4994666576385498,30.966932773590088
A06_12_01_W_roh.jpeg,1,A06_15_02_W_roh.jpeg,235,0.8557698726654053,201.10592007637024
A06_12_01_W_roh.jpeg,2,IMG-20250607-WA0003.jpg,226,0.8458395600318909,191.1597405672073
A06_12_01_W_roh.jpeg,3,A06_17_02_W__roh.jpg,230,0.8024798631668091,184.5703685283661
A06_12_01_W_roh.jpeg,4,IMG-20250607-WA0006.jpg,214,0.7784998416900635,166.59896612167358
A06_12_01_W_roh.jpeg,5,IMG_20250717_104317.jpg,92,0.4311762452125549,39.668214559555054
A06_12_04_W_roh.jpeg,1,IMG-20250626-WA0015.jpg,197,0.8741626143455505,172.21003502607346
A06_12_04_W_roh.jpeg,2,IMG-20250626-WA0014.jpg,199,0.8160523176193237,162.39441120624542
A06_12_04_W_roh.jpeg,3,IMG_20250717_104652.jpg,202,0.8011088967323303,161.82399713993073
A06_12_04_W_roh.jpeg,4,A08_18_06_W_roh.jpeg,52,0.6212577223777771,32.30540156364441
A06_12_04_W_roh.jpeg,5,IMG_20250717_111516.jpg,64,0.4941593408584595,31.626197814941406
A06_14_02_W_roh.jpg,1,IMG-20250626-WA0020.jpg,99,0.4855763614177704,48.07205978035927
A06_14_02_W_roh.jpg,2,IMG-20250626-WA0016.jpg,96,0.4748580455780029,45.58637237548828
A06_14_02_W_roh.jpg,3,A06_17_04_W_roh.jpg,86,0.4960982203483581,42.6644469499588
A06_14_02_W_roh.jpg,4,IMG-20250910-WA0023.jpg,76,0.5284366607666016,40.16118621826172
A06_14_02_W_roh.jpg,5,IMG_20250501_132350.jpg,76,0.5232692360877991,39.76846194267273
A06_15_02_W_roh.jpeg,1,IMG-20250607-WA0003.jpg,259,0.8196724653244019,212.29516851902008
A06_15_02_W_roh.jpeg,2,A06_17_02_W__roh.jpg,263,0.7927739024162292,208.4995363354683
A06_15_02_W_roh.jpeg,3,A06_12_01_W_roh.jpeg,235,0.8557698726654053,201.10592007637024
A06_15_02_W_roh.jpeg,4,IMG-20250607-WA0006.jpg,257,0.7475529909133911,192.12111866474152
