image1,image2,num_matches,average_confidence,combined_score
A02_03_02_M_roh.jpeg,IMG-20250607-WA0003.jpg,49,0.5080983638763428,24.896819829940796
A02_03_02_M_roh.jpeg,IMG-20250607-WA0006.jpg,78,0.5140649676322937,40.09706747531891
A02_03_02_M_roh.jpeg,IMG-20250607-WA0007.jpg,27,0.4198972284793854,11.337225168943405
A02_03_02_M_roh.jpeg,IMG-20250620-WA0039.jpg,37,0.4620671272277832,17.09648370742798
A02_03_02_M_roh.jpeg,IMG-20250620-WA0041.jpg,29,0.43055272102355957,12.486028909683228
A02_03_02_M_roh.jpeg,IMG-20250620-WA0042.jpg,49,0.508501410484314,24.916569113731384
A02_03_02_M_roh.jpeg,IMG-20250626-WA0002.jpg,26,0.362708181142807,9.430412709712982
A02_03_02_M_roh.jpeg,IMG-20250626-WA0003.jpg,42,0.3875904679298401,16.278799653053284
A02_03_02_M_roh.jpeg,IMG-20250626-WA0004.jpg,26,0.5092718601226807,13.241068363189697
A02_03_02_M_roh.jpeg,IMG-20250626-WA0006.jpg,20,0.3783841133117676,7.567682266235352
A02_03_02_M_roh.jpeg,IMG-20250626-WA0007.jpg,43,0.3885788023471832,16.70888850092888
A02_03_02_M_roh.jpeg,IMG-20250626-WA0009.jpg,53,0.46405965089797974,24.595161497592926
A02_03_02_M_roh.jpeg,IMG-20250626-WA0011.jpg,16,0.42780816555023193,6.844930648803711
A02_03_02_M_roh.jpeg,IMG-20250626-WA0013.jpg,41,0.408164918422699,16.734761655330658
A02_03_02_M_roh.jpeg,IMG-20250626-WA0014.jpg,31,0.4186590611934662,12.978430896997452
A02_03_02_M_roh.jpeg,IMG-20250626-WA0015.jpg,47,0.4351526200771332,20.45217314362526
A02_03_02_M_roh.jpeg,IMG-20250626-WA0016.jpg,41,0.39752620458602905,16.29857438802719
A02_03_02_M_roh.jpeg,IMG-20250626-WA0020.jpg,60,0.4578356146812439,27.470136880874634
A02_03_02_M_roh.jpeg,IMG-20250626-WA0021.jpg,67,0.5263360738754272,35.264516949653625
A02_03_02_M_roh.jpeg,IMG-20250626-WA0022.jpg,45,0.44407162070274353,19.98322293162346
