query_image,rank,candidate_image,num_matches,average_confidence,verification,notes
A05_21_01_W_roh.jpeg,4,IMG_20250501_133055.jpg,56,0.5006786584854126,,
A05_21_01_W_roh.jpeg,5,A08_18_23_W_roh.jpeg,55,0.504576563835144,,
A06_03_01_M_roh.jpeg,1,IMG_20250807_105820.jpg,180,0.8004533052444458,,
A06_03_01_M_roh.jpeg,2,IMG-20250919-WA0009.jpg,77,0.5089321732521057,,
A06_03_01_M_roh.jpeg,3,IMG_20250515_121011.jpg,84,0.4619121551513672,,
A06_03_01_M_roh.jpeg,4,IMG_20250501_132350.jpg,73,0.4943851828575134,,
A06_03_01_M_roh.jpeg,5,IMG-20250626-WA0016.jpg,67,0.5067350268363953,,
A06_03_02_W_roh.jpeg,1,IMG-20250620-WA0042.jpg,67,0.598624587059021,,
A06_03_02_W_roh.jpeg,2,IMG-20250626-WA0013.jpg,76,0.4676987528800964,,
A06_03_02_W_roh.jpeg,3,IMG_20250501_132115.jpg,67,0.4761112034320831,,
A06_03_02_W_roh.jpeg,4,IMG-20250626-WA0024.jpg,67,0.4538948535919189,,
A06_03_02_W_roh.jpeg,5,IMG_20250717_111215.jpg,66,0.4366034865379333,,
A06_08_04_W_roh.jpg,1,A08_18_18_W_roh.jpeg,77,0.4689820408821106,,
A06_08_04_W_roh.jpg,2,IMG-20250626-WA0016.jpg,63,0.5269520282745361,,
A06_08_04_W_roh.jpg,3,A08_17_17_W_roh.jpg,79,0.4097157418727875,,
A06_08_04_W_roh.jpg,4,A07_17_06_W_roh.jpg,68,0.4576452672481537,,
A06_08_04_W_roh.jpg,5,A06_15_03_W_roh.jpeg,62,0.4994666576385498,,
A06_12_01_W_roh.jpeg,1,A06_15_02_W_roh.jpeg,235,0.8557698726654053,,
A06_12_01_W_roh.jpeg,2,IMG-20250607-WA0003.jpg,226,0.8458395600318909,,
A06_12_01_W_roh.jpeg,3,A06_17_02_W__roh.jpg,230,0.8024798631668091,,
A06_12_01_W_roh.jpeg,4,IMG-20250607-WA0006.jpg,214,0.7784998416900635,,
A06_12_01_W_roh.jpeg,5,IMG_20250717_104317.jpg,92,0.4311762452125549,,
A06_12_04_W_roh.jpeg,1,IMG-20250626-WA0015.jpg,197,0.8741626143455505,,
A06_12_04_W_roh.jpeg,2,IMG-20250626-WA0014.jpg,199,0.8160523176193237,,
A06_12_04_W_roh.jpeg,3,IMG_20250717_104652.jpg,202,0.8011088967323303,,
A06_12_04_W_roh.jpeg,4,A08_18_06_W_roh.jpeg,52,0.6212577223777771,,
A06_12_04_W_roh.jpeg,5,IMG_20250717_111516.jpg,64,0.4941593408584595,,
A06_14_02_W_roh.jpg,1,IMG-20250626-WA0020.jpg,99,0.4855763614177704,,
A06_14_02_W_roh.jpg,2,IMG-20250626-WA0016.jpg,96,0.4748580455780029,,
A06_14_02_W_roh.jpg,3,A06_17_04_W_roh.jpg,86,0.4960982203483581,,
A06_14_02_W_roh.jpg,4,IMG-20250910-WA0023.jpg,76,0.5284366607666016,,
A06_14_02_W_roh.jpg,5,IMG_20250501_132350.jpg,76,0.5232692360877991,,
A06_15_02_W_roh.jpeg,1,IMG-20250607-WA0003.jpg,259,0.8196724653244019,,
A06_15_02_W_roh.jpeg,2,A06_17_02_W__roh.jpg,263,0.7927739024162292,,
A06_15_02_W_roh.jpeg,3,A06_12_01_W_roh.jpeg,235,0.8557698726654053,,
A06_15_02_W_roh.jpeg,4,IMG-20250607-WA0006.jpg,257,0.7475529909133911,,
A06_15_02_W_roh.jpeg,5,IMG-20250910-WA0030.jpg,83,0.5057563185691833,,
A06_15_03_W_roh.jpeg,1,A08_17_17_W_roh.jpg,65,0.4809029102325439,,
A06_15_03_W_roh.jpeg,2,A06_08_04_W_roh.jpg,62,0.4994666576385498,,
A06_15_03_W_roh.jpeg,3,A04_12_04_W_roh.jpeg,52,0.4810851216316223,,
A06_15_03_W_roh.jpeg,4,A04_17_02_W_roh.jpg,54,0.4365218877792358,,
A06_15_03_W_roh.jpeg,5,A08_09_39_W_roh.jpg,49,0.4740525782108307,,
