Query,Rank,Candidate,ALIKED_Score
A01_12_01_M_roh_BELLY.jpg,9,A04_12_04_W_roh_BELLY.jpg,0.08083592355251312
A01_12_01_M_roh_BELLY.jpg,10,A01_18_14_W_roh_BELLY.jpg,0.07981202751398087
A01_12_01_M_roh_BELLY.jpg,11,A08_06_05_SA_roh_BELLY.jpg,0.07943175733089447
A01_12_01_M_roh_BELLY.jpg,12,A03_12_03_M_roh_BELLY.jpg,0.07855477184057236
A01_12_01_M_roh_BELLY.jpg,13,A08_12_15_W_roh_BELLY.jpg,0.07835408300161362
A01_12_01_M_roh_BELLY.jpg,14,A01_15_03_W_roh_BELLY.jpg,0.07678020745515823
A01_12_01_M_roh_BELLY.jpg,15,A04_06_02_M_roh_BELLY.jpg,0.07639502733945847
A01_12_01_M_roh_BELLY.jpg,16,A08_18_13_W_roh_BELLY.jpg,0.07321479171514511
A01_12_01_M_roh_BELLY.jpg,17,A05_18_04_W_roh_BELLY.jpg,0.07185059785842896
A01_12_01_M_roh_BELLY.jpg,18,A06_12_04_W_roh_BELLY.jpg,0.07146400213241577
A01_12_01_M_roh_BELLY.jpg,19,A01_06_01_SA_roh_BELLY.jpg,0.07104524970054626
A01_12_01_M_roh_BELLY.jpg,20,A08_15_14_W_roh_BELLY.jpg,0.06974846124649048
A01_15_01_W_roh_BELLY.jpg,1,A08_06_08_W_roh_BELLY.jpg,0.11372663080692291
A01_15_01_W_roh_BELLY.jpg,2,A04_06_02_M_roh_BELLY.jpg,0.10621844232082367
A01_15_01_W_roh_BELLY.jpg,3,A08_06_05_SA_roh_BELLY.jpg,0.10458581149578094
A01_15_01_W_roh_BELLY.jpg,4,A01_18_14_W_roh_BELLY.jpg,0.0990993082523346
A01_15_01_W_roh_BELLY.jpg,5,A02_06_03_M_roh_BELLY.jpg,0.09508771449327469
A01_15_01_W_roh_BELLY.jpg,6,A05_21_01_W_roh_BELLY.jpg,0.09224078059196472
A01_15_01_W_roh_BELLY.jpg,7,A02_03_02_M_roh_BELLY.jpg,0.09216167032718658
A01_15_01_W_roh_BELLY.jpg,8,A08_15_14_W_roh_BELLY.jpg,0.09072282165288925
